,TEP_mean_uV_C,TEP_error_uV_C,Absorption_avg_500,Absorption_std_500,backscatter_avg,backscatter_std,Absorption_avg_50,Absorption_std_50,A,A std,B,B std,p,p std,Absorption_avg_100,Absorption_std_100,Absorption_avg_200,Absorption_std_200,median_CF,mean_CF,std_CF,median_perm,mean_perm,std_perm,median_MBN,mean_MBN,std_MBN,median_CF_g,mean_CF_g,std_CF_g,median_perm_g,mean_perm_g,std_perm_g,median_pMBN_g,mean_pMBN_g,std_pMBN_g,TEP_mean_uV_C_LB,Absorption_avg_500_LB,Absorption_avg_50_LB,Absorption_avg_100_LB,backscatter_avg_LB,A_LB,B_LB,p_LB,Absorption_avg_200_LB,mean_CF_LB,mean_perm_LB,mean_MBN_LB,mean_CF_g_LB,mean_perm_g_LB,mean_pMBN_g_LB,TEP_mean_uV_C_UB,Absorption_avg_500_UB,Absorption_avg_50_UB,Absorption_avg_100_UB,backscatter_avg_UB,A_UB,B_UB,p_UB,Absorption_avg_200_UB,mean_CF_UB,mean_perm_UB,mean_MBN_UB,mean_CF_g_UB,mean_perm_g_UB,mean_pMBN_g_UB,AUC_avg,AUC_LB,AUC_UB,AUC_std,CF_perm,CF_perm_std
T_N_T,12.914502863735466,0.0773279417584635,0.0005302000000000001,6.57e-05,0.027000000000000003,0.0082,0.001838,0.0006222,2.07e-06,1.28e-06,0.00141,0.0006799999999999999,0.302,0.077,0.0012873,0.00032960000000000004,0.0008345000000000001,0.00016489,1.1124999999999998,1.1126363636363636,0.01305582419667733,67.2,67.14545454545456,0.7216143518024489,0.91,0.9026363636363636,0.2720912614279528,,,,,,,,,,12.837174921977002,0.00046450000000000007,0.0012158,0.0009576999999999999,0.018800000000000004,7.900000000000001e-07,0.0007300000000000001,0.22499999999999998,0.0006696100000000001,1.0995805394396863,66.42384019365211,0.6305451022084108,,,,12.99183080549393,0.0005959000000000001,0.0024602,0.0016168999999999999,0.0352,3.35e-06,0.00209,0.379,0.0009993900000000002,1.125692187833041,67.867068897257,1.1747276250643164,,,,11.111957696000001,6.425523178666666,15.798392213333333,4.686434517333334,0.016570538857297586,0.018092522916245333
T_T,12.932689744901175,0.07270016374308493,0.00028310000000000005,2.818e-05,0.019,0.0042,0.001611,0.0008728999999999999,4.1e-13,4.06e-07,0.0007509999999999999,0.000217,0.202,0.0245,0.0007416,0.00028680000000000003,0.0003838,4.1289999999999986e-05,1.1065,1.136272727272727,0.07973843603820048,67.1,67.08181818181819,1.114287379286134,0.5525,0.6196363636363637,0.2055622887240132,,,,,,,,,,12.859989581158091,0.00025492000000000006,0.0007381000000000001,0.0004548,0.0148,-4.0599959e-07,0.000534,0.17750000000000002,0.00034251,1.0565342912345266,65.96753080253205,0.4140740749123505,,,,13.00538990864426,0.00031128000000000004,0.0024839,0.0010284,0.0232,4.0600041e-07,0.0009679999999999999,0.2265,0.00042509,1.2160111633109276,68.19610556110433,0.8251986523603768,,,,5.365379086577514,3.873394263110848,6.857363910044182,1.4919848234666668,0.016938609567692095,0.07156002797885475
T_OT,12.299227648287607,0.09870404191880901,0.000332,3.053e-05,0.0253,0.0057,0.001526,0.0004334,3.9899999999999986e-13,5.1e-07,0.000731,0.000272,0.208,0.0308,0.00078,0.0002345,0.0004763999999999999,0.00011409,1.7919999999999998,1.936636363636364,0.3817067651292737,60.45,59.11818181818182,4.123546575902395,0.4335,0.6736363636363637,0.4641022026940344,,,,,,,,,,12.200523606368797,0.00030146999999999997,0.0010926,0.0005455,0.0196,-5.09999601e-07,0.000459,0.1772,0.0003623099999999999,1.5549295985070901,54.99463524227942,0.2095341609423293,,,,12.397931690206416,0.00036253,0.0019594,0.0010145,0.031,5.10000399e-07,0.001003,0.23879999999999998,0.0005904899999999999,2.3183431287656378,63.24172839408421,1.137738566330398,,,,5.3818057419782805,3.5092802806449477,7.254331203311613,1.8725254613333329,0.03275872674150393,0.09256758911368454
T_FF,12.865766979421904,0.09333526433252892,0.0004931,6.446e-05,0.0201,0.0051,0.0033770000000000002,0.000817,2.67e-07,1.27e-06,0.00191,0.000678,0.391,0.0767,0.000866,0.0002764,0.0006567999999999999,8.823e-05,0.6729999999999999,0.6699090909090909,0.032451362207015444,102.8,101.98181818181818,2.8662931398648617,0.9525,0.9047272727272728,0.310267655713286,,,,,,,,,,12.772431715089375,0.00042864,0.00256,0.0005896,0.015,-1.003e-06,0.001232,0.3143,0.0005685699999999999,0.6374577287020755,99.11552504195332,0.5944596170139869,,,,12.959102243754433,0.00055756,0.004194,0.0011424,0.0252,1.5369999999999999e-06,0.002588,0.4677,0.0007450299999999999,0.7023604531161063,104.84811132168305,1.2149949284405588,,,,12.200707470933335,7.535472014933333,16.865942926933332,4.665235456,0.006568907113567481,0.011321717850723894
T_HAZ,11.010269529605637,0.07363545146660745,0.0003486,2.748e-05,0.0156,0.0034,0.001693,0.0004597000000000001,4.04e-13,4.81e-07,0.000772,0.000256,0.262,0.028999999999999998,0.0010512,0.000437,0.0004252,6.627e-05,4.718,4.741727272727274,0.04485106667425185,33.8,33.654545454545456,0.5502065727772364,0.324,0.3268181818181818,0.027290357937623987,,,,,,,,,,10.93663407813903,0.00032112000000000004,0.0012332999999999999,0.0006142,0.012199999999999999,-4.80999596e-07,0.000516,0.233,0.00035893,4.696876206053022,33.10433888176822,0.2995278238805578,,,,11.083904981072244,0.00037608,0.0021527,0.0014881999999999999,0.019,4.81000404e-07,0.001028,0.29100000000000004,0.0004914699999999999,4.786578339401525,34.20475202732269,0.35410853975580575,,,,6.276331080432478,4.512765296965812,8.039896863899145,1.7635657834666665,0.14089411129119397,0.08151677732212556
T_HAZ_T,12.97408760520834,0.0815022030144532,0.0003551,0.0001113,0.0227,0.0063,0.00139,0.0004182,4.23e-13,4.47e-07,0.000802,0.000238,0.244,0.0269,0.0007882999999999999,0.00031719999999999996,0.0004936,0.00017576,1.095,1.099363636363636,0.008720925722338483,69.80000000000001,69.49090909090908,1.2801988481908149,0.4945000000000001,0.5630909090909089,0.2295044463819621,,,,,,,,,,12.892585402193886,0.00024380000000000002,0.0009718,0.00047109999999999996,0.0164,-4.46999577e-07,0.0005639999999999999,0.2171,0.00031783999999999995,1.0906427106412977,68.21071024271826,0.33358646270894676,,,,13.055589808222793,0.0004664,0.0018081999999999998,0.0011055,0.029,4.47000423e-07,0.00104,0.2709,0.0006693599999999999,1.1080845620859745,70.7711079390999,0.792595355472871,,,,6.125691099891762,4.487163191625093,7.764219008158426,1.6385279082666662,0.01582025117739403,0.006812164949736481
P_FF,13.021550533234231,0.12068424972914675,,,0.0359,,0.001802,0.0007865,1.4e-07,1.16e-07,0.000607,6.17e-05,0.0595,0.0069700000000000005,0.0007184,0.00017790000000000001,,,0.616,0.6327499999999999,0.05223231074454093,133.6,133.4,4.6083774646987,0.49,0.49525,0.04443856111853438,0.542,0.5475000000000001,0.013395095051121195,150.0,147.2875,6.176091575005766,0.616,0.6100000000000001,0.06548064054141715,12.900866283505085,,0.0010155,0.0005405,,2.4000000000000003e-08,0.0005453,0.05252999999999999,,0.580517689255459,128.79162253530131,0.45081143888146563,0.5341049049488789,141.11140842499424,0.544519359458583,13.142234782963378,,0.0025885,0.0008963,,2.56e-07,0.0006687,0.06647,,0.6849823107445409,138.0083774646987,0.5396885611185344,0.5608950950511213,153.46359157500575,0.6754806405414172,3.027234858666666,2.602387080533333,3.4520826368,0.4248477781333335,0.004743253373313342,0.011334208437710068
P_HAZ_T,13.142320582722714,0.10767692144806852,,,0.0225,,0.001935,0.0003591,2.01e-13,1.12e-07,0.000315,5.95e-05,0.0749,0.00672,0.000802,0.0002274,,,0.907,0.901375,0.029813407817864183,119.1,118.275,2.9826881451852394,0.382,0.38775,0.0308209112686269,0.784,0.776125,0.02772022211826077,133.6,134.5875,3.299972943612026,0.69,0.744125,0.13885906267044396,13.034643661274647,,0.0015759,0.0005746,,-1.11999799e-07,0.00025550000000000003,0.06817999999999999,,0.8715615921821358,115.29231185481477,0.3569290887313731,0.7484047778817392,131.28752705638797,0.6052659373295561,13.249997504170782,,0.0022941000000000003,0.0010294,,1.12000201e-07,0.0003745,0.08162,,0.9311884078178643,121.25768814518524,0.4185709112686269,0.8038452221182607,137.88747294361204,0.8829840626704439,2.112880205858733,1.7030621855920658,2.5226982261253994,0.4098180202666668,0.007621010357218347,0.009995482721178893
P_OT,13.169976669746475,0.10322920979476884,,,0.0197,,0.00169,0.0007019999999999999,1.44e-08,1.04e-07,0.000324,5.520000000000003e-05,0.0765,0.00624,0.0006765,0.0001968,,,0.9570000000000001,0.959125,0.012552034553353136,116.5,115.95,1.825220143278221,0.43,0.408625,0.04825212800636732,0.889,0.903,0.030757112998459388,123.4,124.05,3.2271172452028623,0.733,0.7197499999999999,0.06535562059117134,13.066747459951706,,0.0009880000000000002,0.0004797,,-8.960000000000001e-08,0.0002688,0.07026,,0.9465729654466468,114.12477985672179,0.3603728719936327,0.8722428870015406,120.82288275479713,0.6543943794088285,13.273205879541244,,0.002392,0.0008733,,1.184e-07,0.00037920000000000006,0.08274,,0.9716770345533532,117.77522014327822,0.4568771280063673,0.9337571129984594,127.27711724520286,0.7851056205911713,2.1804360883200005,1.80005971712,2.56081245952,0.3803763712000001,0.008271884432945235,0.006876997604688287
P_T,13.150209904339551,0.10162919445510013,,,0.0279,,0.002338,0.0004969999999999999,7.71e-08,1.27e-07,0.000279,6.74e-05,0.0855,0.00761,0.0010943,0.0002541,,,0.9640000000000001,0.968875,0.019584523773341325,112.8,112.975,1.0039208847599221,0.309,0.31275,0.0190619291483612,0.904,0.900875,0.03691084819244492,120.8,121.9125,1.9635518109501744,0.904,0.902125,0.09568017782472728,13.048580709884451,,0.0018409999999999998,0.0008402000000000001,,-4.990000000000002e-08,0.0002116,0.07789,,0.9492904762266587,111.97107911524007,0.2936880708516388,0.863964151807555,119.94894818904982,0.8064448221752727,13.251839098794651,,0.002835,0.0013484,,2.041e-07,0.0003464,0.09311000000000001,,0.9884595237733413,113.97892088475992,0.33181192914836116,0.9377858481924449,123.87605181095017,0.9978051778247272,2.21861172288,1.754279643946667,2.6829438018133334,0.46433207893333317,0.008576012392122152,0.019508035016150473
P_N_T,13.117952538749568,0.11024329762767786,,,0.023,,0.00238,0.0007942,6.88e-08,1.1e-07,0.00027400000000000005,5.85e-05,0.0785,0.0066,0.0009835,0.0004739,,,0.976,0.977,0.018761663039293712,112.4,112.4375,1.1807231440338342,0.301,0.299,0.008518886580500325,0.912,0.907625,0.04226426217435784,120.2,121.1,3.5246073742839954,1.0590000000000002,1.04375,0.04412239470252849,13.00770924112189,,0.0015858,0.0005096,,-4.120000000000001e-08,0.00021550000000000003,0.0719,,0.9582383369607063,111.25677685596617,0.29048111341949967,0.8653607378256422,117.575392625716,0.9996276052974715,13.228195836377246,,0.0031742000000000003,0.0014574,,1.7879999999999999e-07,0.00033250000000000006,0.0851,,0.9957616630392937,113.61822314403383,0.3075188865805003,0.9498892621743579,124.62460737428398,1.0878723947025284,2.095217755306667,1.692506747306667,2.4979287633066667,0.4027110079999998,0.008689271817676487,0.015889976523367013
P_AR,13.138591625301911,0.1312757847359219,,,0.0272,,0.002499,0.0006450000000000001,1.1100000000000002e-08,1.59e-07,0.000299,8.47e-05,0.0843,0.00957,0.0009161,0.00028900000000000003,,,1.082,1.08575,0.03408288217188886,107.0,107.35,2.4083189157584566,0.311,0.318125,0.07025959517593103,1.06,1.0665,0.03503059886931505,117.8,118.025,2.8242571716167366,0.721,0.7256250000000001,0.16599822503353978,13.00731584056599,,0.0018539999999999997,0.0006271,,-1.479e-07,0.0002143,0.07473,,1.0516671178281112,104.94168108424154,0.24786540482406896,1.0314694011306849,115.20074282838327,0.5596267749664603,13.269867410037833,,0.003144,0.0012051,,1.7010000000000002e-07,0.0003837,0.09387,,1.1198328821718888,109.75831891575845,0.38838459517593105,1.1015305988693151,120.84925717161674,0.8916232250335399,2.2017896514133337,1.6187931095466668,2.78478619328,0.5829965418666666,0.010114112715416861,0.014152146523814961
P_HAZ,11.682789125316765,0.18219912928179047,,,0.023,,0.001627,0.0004374,2.26e-10,1.24e-07,0.000278,6.6e-05,0.0909,0.00745,0.0006181,7.020000000000001e-05,,,1.568,1.5377499999999995,0.09667877592463472,86.9,88.025,3.1976553910638974,0.401,0.408625,0.020694633534877053,1.2670000000000001,1.288875,0.05306717441130631,100.7,102.4375,5.263876219777858,0.369,0.36125,0.07112514122506694,11.500589996034973,,0.0011895999999999999,0.0005479,,-1.23774e-07,0.00021199999999999998,0.08345,,1.4410712240753647,84.8273446089361,0.38793036646512297,1.2358078255886937,97.17362378022214,0.2901248587749331,11.864988254598556,,0.0020644,0.0006883,,1.24226e-07,0.000344,0.09834999999999999,,1.6344287759246343,91.22265539106391,0.42931963353487707,1.3419421744113063,107.70137621977786,0.43237514122506693,2.212100796386133,1.757811369186133,2.666390223586133,0.4542894272,0.017469468900880424,0.030234269832456386
P_N,10.821493591026787,0.10150701634770096,,,0.0195,,0.002016,0.0006738,6.43e-08,9.86e-08,0.00024900000000000004,5.24e-05,0.0827,0.00592,0.0007228,0.0002129,,,1.959,1.976,0.0761952379464378,76.9,76.7,1.0350983390135315,0.415,0.412,0.008552359741197583,1.6569999999999998,1.6437499999999998,0.08947425806980938,82.1,81.27499999999998,2.3656771908754943,0.109,0.10875,0.009437766079503591,10.719986574679085,,0.0013422,0.0005099,,-3.4299999999999996e-08,0.00019660000000000004,0.07678,,1.899804762053562,75.66490166098647,0.4034476402588024,1.5542757419301905,78.90932280912449,0.0993122339204964,10.923000607374489,,0.0026898,0.0009357,,1.629e-07,0.00030140000000000006,0.08861999999999999,,2.052195237946438,77.73509833901353,0.42055235974119753,1.7332242580698092,83.64067719087546,0.1181877660795036,2.0649423110400003,1.7040367396266665,2.4258478824533336,0.36090557141333357,0.02576271186440678,0.0736115932898253
